key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.8963,0,3,3,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.1528,0,4,4,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.0012,0,5,5,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.5696,0,6,6,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.0987,0,7,7,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.1219,0,8,8,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.2348,0,9,9,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.5469,0,10,10,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.423,0,11,11,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,arc053_spanish_exp2,2023-03-31_11h51.47.263,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,4.8632,0,12,12,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
